id,country,macroarea,area,sex,agegroup,educ,hhsize_grp,foreign_born,cnt_weekday,cnt_count_30,cnt_count_gc_30,cnt_count_w_30,worn_face_mask,threat_community_q,threat_personal_q,d.weight
11167,DE,Süddeutschland,Baden-Württemberg,Female,50-54,GraduateOrMore,1p.,0,Freitag,1,1,0,0,H,H,0.8553846757926258
11334,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,1p.,0,Freitag,3,3,0,0,H,H,0.8553846757926258
10529,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,3pp.+,1,Freitag,2,1,0,0,H,H,0.8553846757926258
7570,DE,Süddeutschland,Baden-Württemberg,Female,50-54,GraduateOrMore,2pp.,1,Donnerstag,1,0,0,0,H,H,0.8553846757926258
11603,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,2pp.,0,Freitag,10,9,0,0,H,L,0.8553846757926258
13256,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,3pp.+,0,Samstag,3,0,0,0,H,H,0.8553846757926258
10369,DE,Süddeutschland,Baden-Württemberg,Female,50-54,GraduateOrMore,2pp.,0,Freitag,1,0,0,0,H,H,0.8553846757926258
10439,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,1p.,0,Freitag,3,3,0,0,H,H,0.8553846757926258
7369,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,3pp.+,0,Donnerstag,21,0,20,1,H,H,0.8553846757926258
10317,DE,Süddeutschland,Baden-Württemberg,Female,50-54,Secondary,3pp.+,0,Freitag,5,0,0,0,H,H,0.8553846757926258
10217,DE,Süddeutschland,Baden-Württemberg,Female,50-54,NoResponse,1p.,0,Freitag,0,0,0,0,H,L,0.8553846757926258
6181,DE,Süddeutschland,Baden-Württemberg,Female,50-54,GraduateOrMore,3pp.+,0,Donnerstag,5,3,0,0,H,L,0.8553846757926258
14300,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,3pp.+,0,Samstag,8,3,0,0,H,L,0.8553846757926258
6006,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,1p.,0,Donnerstag,1,0,0,0,H,H,0.8553846757926258
13056,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,3pp.+,0,Samstag,0,0,0,0,H,H,0.8553846757926258
11662,DE,Süddeutschland,Baden-Württemberg,Female,55-59,GraduateOrMore,2pp.,0,Freitag,1,0,0,1,H,H,0.8553846757926258
8298,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,2pp.,0,Donnerstag,10,0,8,0,H,H,0.8553846757926258
10021,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,3pp.+,0,Freitag,4,0,2,1,H,H,0.8553846757926258
9150,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,2pp.,1,Freitag,2,1,0,0,H,H,0.8553846757926258
13487,DE,Süddeutschland,Baden-Württemberg,Female,55-59,GraduateOrMore,2pp.,0,Samstag,1,0,0,0,H,L,0.8553846757926258
10377,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,2pp.,0,Freitag,1,0,0,0,H,L,0.8553846757926258
10598,DE,Süddeutschland,Baden-Württemberg,Female,55-59,Secondary,2pp.,0,Freitag,3,0,0,0,H,H,0.8553846757926258
7226,DE,Süddeutschland,Baden-Württemberg,Female,55-59,GraduateOrMore,1p.,1,Donnerstag,2,1,0,0,L,L,0.8553846757926258
11327,DE,Süddeutschland,Baden-Württemberg,Female,60-64,Secondary,3pp.+,0,Freitag,5,3,0,0,H,H,0.8553846757926258
12233,DE,Süddeutschland,Baden-Württemberg,Female,60-64,Secondary,3pp.+,0,Samstag,5,2,0,1,H,H,0.8553846757926258
