country,area,sex,agegroup,count
DE,Brandenburg,Male,70-74,49948
DE,Brandenburg,Male,75+,137584
DE,Brandenburg,Total,0-17,398118
DE,Brandenburg,Total,18-24,131316
DE,Brandenburg,Total,25-29,92191
DE,Brandenburg,Total,30-34,154505
DE,Brandenburg,Total,35-39,162012
DE,Brandenburg,Total,40-44,151014
DE,Brandenburg,Total,45-49,153836
DE,Brandenburg,Total,50-54,207593
DE,Brandenburg,Total,55-59,239654
DE,Brandenburg,Total,60-64,204044
DE,Brandenburg,Total,65-69,180956
DE,Brandenburg,Total,70-74,106624
DE,Brandenburg,Total,75+,340030
DE,Bremen,Female,0-17,53516
DE,Bremen,Female,18-24,28054
DE,Bremen,Female,25-29,23406
DE,Bremen,Female,30-34,23570
DE,Bremen,Female,35-39,21425
DE,Bremen,Female,40-44,19513
DE,Bremen,Female,45-49,20487
DE,Bremen,Female,50-54,25303
DE,Bremen,Female,55-59,25022
DE,Bremen,Female,60-64,21893
DE,Bremen,Female,65-69,19445
DE,Bremen,Female,70-74,16615
DE,Bremen,Female,75+,45952
DE,Bremen,Male,0-17,57454
DE,Bremen,Male,18-24,31136
DE,Bremen,Male,25-29,25681
DE,Bremen,Male,30-34,25278
DE,Bremen,Male,35-39,22574
DE,Bremen,Male,40-44,20292
DE,Bremen,Male,45-49,21108
DE,Bremen,Male,50-54,26440
DE,Bremen,Male,55-59,24749
DE,Bremen,Male,60-64,20348
DE,Bremen,Male,65-69,16900
DE,Bremen,Male,70-74,14264
DE,Bremen,Male,75+,30777
DE,Bremen,Total,0-17,110970
DE,Bremen,Total,18-24,59190
DE,Bremen,Total,25-29,49087
DE,Bremen,Total,30-34,48848
DE,Bremen,Total,35-39,43999
DE,Bremen,Total,40-44,39805
DE,Bremen,Total,45-49,41595
DE,Bremen,Total,50-54,51743
DE,Bremen,Total,55-59,49771
DE,Bremen,Total,60-64,42241
DE,Bremen,Total,65-69,36345
DE,Bremen,Total,70-74,30879
DE,Bremen,Total,75+,76729
DE,Hamburg,Female,0-17,150902
DE,Hamburg,Female,18-24,72131
DE,Hamburg,Female,25-29,74036
DE,Hamburg,Female,30-34,78104
DE,Hamburg,Female,35-39,71349
DE,Hamburg,Female,40-44,62122
DE,Hamburg,Female,45-49,59949
DE,Hamburg,Female,50-54,69193
DE,Hamburg,Female,55-59,63423
DE,Hamburg,Female,60-64,50296
DE,Hamburg,Female,65-69,43371
DE,Hamburg,Female,70-74,38851
DE,Hamburg,Female,75+,109552
DE,Hamburg,Male,0-17,159984
DE,Hamburg,Male,18-24,74181
DE,Hamburg,Male,25-29,72003
DE,Hamburg,Male,30-34,77659
DE,Hamburg,Male,35-39,70460
DE,Hamburg,Male,40-44,62432
DE,Hamburg,Male,45-49,60794
DE,Hamburg,Male,50-54,71220
DE,Hamburg,Male,55-59,63108
DE,Hamburg,Male,60-64,47548
DE,Hamburg,Male,65-69,37359
DE,Hamburg,Male,70-74,33014
DE,Hamburg,Male,75+,74212
DE,Hamburg,Total,0-17,310886
DE,Hamburg,Total,18-24,146312
DE,Hamburg,Total,25-29,146039
DE,Hamburg,Total,30-34,155763
DE,Hamburg,Total,35-39,141809
DE,Hamburg,Total,40-44,124554
DE,Hamburg,Total,45-49,120743
DE,Hamburg,Total,50-54,140413
DE,Hamburg,Total,55-59,126531
DE,Hamburg,Total,60-64,97844
DE,Hamburg,Total,65-69,80730
DE,Hamburg,Total,70-74,71865
DE,Hamburg,Total,75+,183764
DE,Hessen,Female,0-17,512481
DE,Hessen,Female,18-24,235057
DE,Hessen,Female,25-29,193265
DE,Hessen,Female,30-34,201078
DE,Hessen,Female,35-39,201168
