country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Baden-Württemberg,Female,50-54,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,50-54,2-Secondary,1p.,39176.35266355797,39176.35266355798,5.709555723787552e-4
DE,Baden-Württemberg,Female,50-54,2-Secondary,2pp.,78352.70532711594,55403.72926111501,0.0011419111447575105
DE,Baden-Württemberg,Female,50-54,2-Secondary,3pp.+,391763.5266355797,110807.45852223002,0.005709555723787552
DE,Baden-Württemberg,Female,50-54,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,50-54,3-GraduateOrMore,2pp.,25986.711623202515,25986.71162320252,3.7872994294512087e-4
DE,Baden-Württemberg,Female,50-54,3-GraduateOrMore,3pp.+,25986.711623202515,25986.71162320252,3.7872994294512087e-4
DE,Baden-Württemberg,Female,55-59,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,55-59,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,55-59,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,55-59,2-Secondary,1p.,66962.53171966532,47349.66026439464,9.759109265293153e-4
DE,Baden-Württemberg,Female,55-59,2-Secondary,2pp.,200887.59515899594,94699.32052878928,0.0029277327795879456
DE,Baden-Württemberg,Female,55-59,2-Secondary,3pp.+,100443.79757949797,57991.25357095144,0.0014638663897939728
DE,Baden-Württemberg,Female,55-59,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,55-59,3-GraduateOrMore,2pp.,48011.80036270494,33949.469613443405,6.997232537811531e-4
DE,Baden-Württemberg,Female,55-59,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,60-64,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,60-64,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,60-64,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,60-64,2-Secondary,1p.,66962.53171966532,47349.66026439464,9.759109265293153e-4
DE,Baden-Württemberg,Female,60-64,2-Secondary,2pp.,90968.43190101779,53087.41442819241,0.0013257725534198917
DE,Baden-Württemberg,Female,60-64,2-Secondary,3pp.+,73009.27035129492,73009.27035129492,0.001064036004075349
DE,Baden-Württemberg,Female,60-64,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,60-64,3-GraduateOrMore,2pp.,24005.90018135247,24005.90018135247,3.4986162689057654e-4
DE,Baden-Württemberg,Female,60-64,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,65-69,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,65-69,1-PrimaryOrLess,2pp.,0,0,0
DE,Baden-Württemberg,Female,65-69,1-PrimaryOrLess,3pp.+,0,0,0
DE,Baden-Württemberg,Female,65-69,2-Secondary,1p.,100443.79757949797,57991.25357095144,0.0014638663897939728
DE,Baden-Württemberg,Female,65-69,2-Secondary,2pp.,337430.7701831056,141856.81480011196,0.004917710951364562
DE,Baden-Württemberg,Female,65-69,2-Secondary,3pp.+,0,0,0
DE,Baden-Württemberg,Female,65-69,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Female,65-69,3-GraduateOrMore,2pp.,48011.80036270494,33949.469613443405,6.997232537811531e-4
DE,Baden-Württemberg,Female,65-69,3-GraduateOrMore,3pp.+,0,0,0
DE,Baden-Württemberg,Female,70-74,1-PrimaryOrLess,1p.,0,0,0
DE,Baden-Württemberg,Female,70-74,1-PrimaryOrLess,2pp.,0,0,0
